date,open,close,,buy_mo,price_change_mo,percent_change_mo,overall_ret_buy_mo,buy_mc,price_change_mc,percent_change_mc,overall_ret_buy_mc,buy_monthly,,buy_quarterly,buy_and_hold,,,buy_and_hold,,Invesment Amount,# of Shares
2013-05-08,162.42,163.34,,"$10,279.32",$0.92,0.5664%,,"$10,233.89",-$0.18,-0.1106%,,,,,"$10,460.49",,,,,,
2013-05-09,163.27,162.881,,"$10,254.83",-$0.39,-0.2383%,,"$10,229.50",-$0.07,-0.0429%,,,,,"$10,515.23",,,,,,
2013-05-10,162.99,163.41,,"$10,281.25",$0.42,0.2577%,,"$10,236.35",$0.11,0.0669%,,,,,"$10,497.20",,,,,,
2013-05-13,163.2,163.54,,"$10,302.67",$0.34,0.2083%,,"$10,223.19",-$0.21,-0.1285%,,,,,"$10,510.72",,,,,,
2013-05-14,163.67,165.23,,"$10,400.87",$1.56,0.9531%,,"$10,231.32",$0.13,0.0795%,,,,,"$10,540.99",,,,,,
2013-05-15,164.96,166.115,,"$10,473.69",$1.16,0.7002%,,"$10,214.60",-$0.27,-0.1634%,,,,,"$10,624.07",,,,,,
2013-05-16,165.78,165.34,,"$10,445.90",-$0.44,-0.2654%,,"$10,194.00",-$0.34,-0.2017%,,,,,"$10,676.89",,,,,,
2013-05-17,165.95,166.94,,"$10,508.21",$0.99,0.5966%,,"$10,231.61",$0.61,0.3689%,,,,,"$10,687.83",,,,,,
2013-05-20,166.78,166.93,,"$10,517.66",$0.15,0.0899%,,"$10,221.80",-$0.16,-0.0958%,,,,,"$10,741.29",,,,,,
2013-05-21,167.08,167.17,,"$10,523.33",$0.09,0.0539%,,"$10,230.99",$0.15,0.0899%,,,,,"$10,760.61",,,,,,
2013-05-22,167.34,165.93,,"$10,434.66",-$1.41,-0.8426%,,"$10,241.39",$0.17,0.1017%,,,,,"$10,777.36",,,,,,
2013-05-23,164.16,165.45,,"$10,516.66",$1.29,0.7858%,,"$10,132.15",-$1.77,-1.0667%,,,,,"$10,572.55",,,,,,
2013-05-24,164.47,165.308,,"$10,570.24",$0.84,0.5095%,,"$10,072.13",-$0.98,-0.5923%,,,,,"$10,592.52",,,,,,
2013-05-28,167.04,166.3,,"$10,523.41",-$0.74,-0.4430%,,"$10,177.66",$1.73,1.0477%,,,,,"$10,758.03",,,,,,
2013-05-29,165.42,165.22,,"$10,510.69",-$0.20,-0.1209%,,"$10,123.81",-$0.88,-0.5292%,,,,,"$10,653.70",,,,,,
2013-05-30,165.35,165.83,,"$10,541.20",$0.48,0.2903%,,"$10,131.77",$0.13,0.0787%,,,,,"$10,649.19",,,,,,
2013-05-31,165.37,163.445,,"$10,418.50",-$1.93,-1.1641%,,"$10,103.67",-$0.46,-0.2774%,,"$10,258.27",2.58%,,"$10,650.48",,,,,,
2013-06-03,163.83,164.35,,"$10,451.57",$0.52,0.3174%,,"$10,127.47",$0.39,0.2356%,,"$10,258.27",,,"$10,551.30",,,,,,
2013-06-04,164.44,163.56,,"$10,395.63",-$0.88,-0.5351%,,"$10,133.01",$0.09,0.0548%,,,,,"$10,590.58",,,,,,
2013-06-05,163.09,161.272,,"$10,279.75",-$1.82,-1.1147%,,"$10,103.89",-$0.47,-0.2874%,,,,,"$10,503.64",,,,,,
